YEAR,COUNTRY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL UP TO END OF DECEMBER
2022,AZERBAIJAN,65,75,366,29,21,9,11,37,9,15,55,89,781
2023,AZERBAIJAN,115,64,343,120,54,71,191,156,82,94,195,194,1679
2024,AZERBAIJAN,163,157,469,101,39,83,150,97,1259,PENDING,PENDING,PENDING,
2018,BAHAMAS,1,4,4,24,6,1,0,5,3,0,0,0,48
2019,BAHAMAS,2,2,2,4,0,0,0,0,2,1,0,1,14
2020,BAHAMAS,0,4,1,0,0,0,0,0,0,0,0,0,5
2021,BAHAMAS,0,0,0,0,0,0,0,0,0,1,2,1,4
2022,BAHAMAS,0,0,0,0,0,1,0,0,0,0,1,0,2
2023,BAHAMAS,0,1,3,3,0,2,3,0,2,0,1,5,20
2024,BAHAMAS,0,0,4,0,0,3,3,0,10,PENDING,PENDING,PENDING,
2018,BAHRAIN,588,147,195,151,108,245,392,432,99,90,103,308,2858
2019,BAHRAIN,394,162,150,141,17,121,283,318,140,108,194,257,2285
2020,BAHRAIN,404,131,14,0,0,0,0,0,0,0,0,0,549
2021,BAHRAIN,0,0,8,2,13,0,3,5,0,6,10,81,128
2022,BAHRAIN,59,49,80,22,51,42,36,22,14,28,19,88,510
2023,BAHRAIN,134,35,56,86,78,171,204,176,52,54,82,104,1232
2024,BAHRAIN,122,81,29,85,68,197,162,140,884,PENDING,PENDING,PENDING,
2018,BANGLADESH,982,741,996,672,729,1030,857,1060,771,894,736,1019,10487
2019,BANGLADESH,946,731,848,593,186,509,631,804,693,665,626,1029,8261
2020,BANGLADESH,1014,760,212,0,0,0,0,0,0,0,0,0,1986
2021,BANGLADESH,0,6,3,5,6,2,31,19,235,273,372,544,1496
2022,BANGLADESH,302,259,451,155,249,129,176,168,338,417,511,662,3817
2023,BANGLADESH,717,531,612,960,1145,1072,1520,1533,1441,2456,2674,3185,17846
2024,BANGLADESH,2329,2389,1308,2354,2878,4374,4607,3877,24116,PENDING,PENDING,PENDING,
2018,BARBADOS,4,2,3,3,3,0,0,1,0,2,0,0,18
2019,BARBADOS,4,1,3,0,1,0,1,0,3,1,2,1,17
2020,BARBADOS,2,6,1,0,0,0,0,0,0,0,0,0,9
2021,BARBADOS,0,0,0,0,0,0,0,0,0,0,8,0,8
2022,BARBADOS,0,3,0,0,1,0,0,0,1,0,2,6,13
2023,BARBADOS,0,1,3,0,1,1,1,5,1,1,2,0,16
2024,BARBADOS,0,1,13,2,0,5,4,3,28,PENDING,PENDING,PENDING,
2018,BELARUS,802,942,666,286,128,122,71,96,174,256,500,578,4621
2019,BELARUS,997,930,914,142,31,24,46,88,75,225,662,662,4796
2020,BELARUS,1099,1101,438,0,0,0,0,0,0,0,0,0,2638
2021,BELARUS,30,44,23,14,0,0,0,7,13,36,120,359,646
2022,BELARUS,736,823,515,129,68,34,35,46,54,143,456,582,3621
2023,BELARUS,1204,1244,1399,627,428,441,453,497,778,824,1508,1566,10969
2024,BELARUS,2342,1884,1665,752,195,175,203,199,7415,PENDING,PENDING,PENDING,
2018,BELGIUM,1275,1449,1666,1211,494,785,3681,1994,1384,816,1045,1719,17519
2019,BELGIUM,1278,1681,1646,1626,153,561,2603,1508,1082,561,933,1316,14948
2020,BELGIUM,1243,1500,628,0,0,0,0,0,0,0,0,0,3371
2021,BELGIUM,0,7,9,22,1,3,17,54,61,152,318,639,1283
2022,BELGIUM,495,620,761,846,212,259,1115,475,316,274,279,512,6164
2023,BELGIUM,646,725,722,636,420,438,2259,1330,1061,666,769,995,10667
2024,BELGIUM,1313,1577,1565,914,549,872,3435,1751,11976,PENDING,PENDING,PENDING,
2018,BELIZE,2,1,1,2,0,0,1,1,0,6,0,2,16
2019,BELIZE,4,2,3,2,0,0,2,3,1,1,5,2,25
2020,BELIZE,2,3,0,0,0,0,0,0,0,0,0,0,5
2021,BELIZE,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,BELIZE,1,0,1,0,0,0,0,0,0,0,0,0,2
2023,BELIZE,1,0,1,2,0,1,0,1,1,2,0,0,9
2024,BELIZE,1,2,4,2,0,1,4,1,15,PENDING,PENDING,PENDING,
2018,BENIN,1,0,0,0,0,0,1,1,2,1,1,4,11
2019,BENIN,0,0,1,1,0,1,1,0,0,1,2,0,7
2020,BENIN,0,2,0,0,0,0,0,0,0,0,0,0,2
2021,BENIN,0,0,0,0,0,0,0,0,1,0,0,0,1
2022,BENIN,0,0,0,1,0,0,0,0,0,0,0,0,1
2023,BENIN,1,0,0,1,0,0,0,1,3,1,0,3,10
2024,BENIN,0,0,0,1,2,1,1,0,5,PENDING,PENDING,PENDING,
2018,BHUTAN,110,72,37,42,30,41,49,48,38,29,47,136,679
2019,BHUTAN,37,74,25,9,11,12,23,13,23,43,38,35,343
2020,BHUTAN,137,69,2,0,0,0,0,0,0,0,0,0,208
2021,BHUTAN,0,0,1,0,1,0,0,0,0,0,2,1,5
2022,BHUTAN,30,11,6,2,1,3,3,30,8,5,31,9,139
2023,BHUTAN,32,19,24,25,21,39,41,60,32,39,33,68,433
2024,BHUTAN,135,67,68,24,52,33,29,51,459,PENDING,PENDING,PENDING,
2018,BOLIVIA,6,5,17,9,2,8,4,9,6,4,5,6,81
2019,BOLIVIA,4,2,4,3,0,0,2,2,3,2,1,7,30
2020,BOLIVIA,12,3,3,0,0,0,0,0,0,0,0,0,18
2021,BOLIVIA,0,0,2,0,0,0,0,0,0,0,16,0,18
2022,BOLIVIA,6,1,3,8,2,2,0,2,3,5,3,2,37
